month_year,match_status,Police_district_Number,count
2019-12,Crime,4D,88
2019-12,Crime,5D,20
2019-12,Crime,6D,41
2019-12,Crime,TPPD,65
2019-12,Dispatch,1D,2376
2019-12,Dispatch,2D,2440
2019-12,Dispatch,3D,3097
2019-12,Dispatch,4D,3020
2019-12,Dispatch,5D,1927
2019-12,Dispatch,6D,2709
2019-12,Dispatch,OOC,2
2019-12,Dispatch,TRU,1
2019-12,Match,1D,289
2019-12,Match,2D,291
2019-12,Match,3D,348
2019-12,Match,4D,321
2019-12,Match,5D,123
2019-12,Match,6D,165
2020-01,Crime,1D,72
2020-01,Crime,2D,31
2020-01,Crime,3D,130
2020-01,Crime,4D,104
2020-01,Crime,5D,25
2020-01,Crime,6D,32
2020-01,Crime,TPPD,92
2020-01,Crime,Unknown,1
2020-01,Dispatch,1D,2385
2020-01,Dispatch,2D,2141
2020-01,Dispatch,3D,3150
2020-01,Dispatch,4D,2805
2020-01,Dispatch,5D,1880
2020-01,Dispatch,6D,2575
2020-01,Match,1D,271
2020-01,Match,2D,275
2020-01,Match,3D,327
2020-01,Match,4D,358
2020-01,Match,5D,105
2020-01,Match,6D,186
2020-01,Match,TPPD,1
2020-01,Match,Unknown,1
2020-02,Crime,1D,54
2020-02,Crime,2D,33
2020-02,Crime,3D,90
2020-02,Crime,4D,123
2020-02,Crime,5D,23
2020-02,Crime,6D,37
2020-02,Crime,TPPD,77
2020-02,Dispatch,1D,2212
2020-02,Dispatch,2D,2154
2020-02,Dispatch,3D,2850
2020-02,Dispatch,4D,2704
2020-02,Dispatch,5D,1759
2020-02,Dispatch,6D,2403
2020-02,Dispatch,OOC,1
2020-02,Dispatch,TRU,1
2020-02,Match,1D,249
2020-02,Match,2D,251
2020-02,Match,3D,295
2020-02,Match,4D,274
2020-02,Match,5D,118
2020-02,Match,6D,198
2020-03,Crime,1D,39
2020-03,Crime,2D,22
2020-03,Crime,3D,83
2020-03,Crime,4D,81
2020-03,Crime,5D,20
2020-03,Crime,6D,29
2020-03,Crime,TPPD,77
2020-03,Crime,Unknown,1
2020-03,Dispatch,1D,2256
2020-03,Dispatch,2D,1869
2020-03,Dispatch,3D,2771
2020-03,Dispatch,4D,2839
2020-03,Dispatch,5D,1906
2020-03,Dispatch,6D,2597
2020-03,Match,1D,264
2020-03,Match,2D,210
2020-03,Match,3D,329
2020-03,Match,4D,363
2020-03,Match,5D,129
2020-03,Match,6D,198
2020-03,Match,Unknown,14
2020-04,Crime,1D,17
2020-04,Crime,2D,6
2020-04,Crime,3D,33
2020-04,Crime,4D,26
2020-04,Crime,5D,7
2020-04,Crime,6D,16
2020-04,Crime,TPPD,61
2020-04,Dispatch,1D,1854
2020-04,Dispatch,2D,1609
2020-04,Dispatch,3D,2379
