month_year,Crime Name1,Crime Name2,count
2019-04,Crime Against Society,Assisting or Promoting Prostitution,1
2019-04,Crime Against Society,Disorderly Conduct,30
2019-04,Crime Against Society,Driving Under the Influence,79
2019-04,Crime Against Society,Drug Equipment Violations,10
2019-04,Crime Against Society,Drug/Narcotic Violations,150
2019-04,Crime Against Society,"Family Offenses, NonViolent",1
2019-04,Crime Against Society,Liquor Law Violations,38
2019-04,Crime Against Society,Trespass of Real Property,18
2019-04,Crime Against Society,Weapon Law Violations,12
2019-05,Crime Against Not a Crime,Runaway,22
2019-05,Crime Against Person,Aggravated Assault,24
2019-05,Crime Against Person,Forcible Fondling,16
2019-05,Crime Against Person,Forcible Rape,6
2019-05,Crime Against Person,Forcible Sodomy,6
2019-05,Crime Against Person,"Human Trafficking, Commercial Sex Acts",1
2019-05,Crime Against Person,Murder and Nonnegligent Manslaughter,1
2019-05,Crime Against Person,Sexual Assault With An Object,3
2019-05,Crime Against Person,Simple Assault,106
2019-05,Crime Against Property,All other Larceny,118
2019-05,Crime Against Property,Arson,2
2019-05,Crime Against Property,Burglary/Breaking and Entering,58
2019-05,Crime Against Property,Counterfeiting/Forgery,16
2019-05,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,15
2019-05,Crime Against Property,Destruction/Damage/Vandalism of Property,202
2019-05,Crime Against Property,Embezzlement,3
2019-05,Crime Against Property,False Pretenses/Swindle/Confidence Game,27
2019-05,Crime Against Property,Identity Theft,35
2019-05,Crime Against Property,Impersonation,1
2019-05,Crime Against Property,Motor Vehicle Theft,42
2019-05,Crime Against Property,Pocket/picking,2
2019-05,Crime Against Property,Purse-snatching,4
2019-05,Crime Against Property,Robbery,20
2019-05,Crime Against Property,Shoplifting,82
2019-05,Crime Against Property,Stolen Property Offenses,1
2019-05,Crime Against Property,Theft From Motor Vehicle,285
2019-05,Crime Against Property,Theft from Building,107
2019-05,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,84
2019-05,Crime Against Property,Wire Fraud,4
2019-05,Crime Against Society,All Other Offenses,400
2019-05,Crime Against Society,Assisting or Promoting Prostitution,1
2019-05,Crime Against Society,Disorderly Conduct,28
2019-05,Crime Against Society,Driving Under the Influence,74
2019-05,Crime Against Society,Drug Equipment Violations,4
2019-05,Crime Against Society,Drug/Narcotic Violations,130
2019-05,Crime Against Society,"Family Offenses, NonViolent",7
2019-05,Crime Against Society,Liquor Law Violations,49
2019-05,Crime Against Society,Prostitution,1
2019-05,Crime Against Society,Trespass of Real Property,20
2019-05,Crime Against Society,Weapon Law Violations,8
2019-06,Crime Against Not a Crime,Runaway,22
2019-06,Crime Against Person,Aggravated Assault,21
2019-06,Crime Against Person,Forcible Fondling,9
2019-06,Crime Against Person,Forcible Rape,12
2019-06,Crime Against Person,Forcible Sodomy,4
2019-06,Crime Against Person,"Human Trafficking, Commercial Sex Acts",2
2019-06,Crime Against Person,Intimidation,1
2019-06,Crime Against Person,Sexual Assault With An Object,4
2019-06,Crime Against Person,Simple Assault,106
2019-06,Crime Against Person,Statuory Rape,1
2019-06,Crime Against Property,All other Larceny,137
2019-06,Crime Against Property,Arson,1
2019-06,Crime Against Property,Burglary/Breaking and Entering,56
2019-06,Crime Against Property,Counterfeiting/Forgery,19
2019-06,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,20
2019-06,Crime Against Property,Destruction/Damage/Vandalism of Property,138
2019-06,Crime Against Property,Embezzlement,5
2019-06,Crime Against Property,False Pretenses/Swindle/Confidence Game,41
2019-06,Crime Against Property,Identity Theft,28
2019-06,Crime Against Property,Impersonation,3
2019-06,Crime Against Property,Motor Vehicle Theft,52
2019-06,Crime Against Property,Pocket/picking,6
2019-06,Crime Against Property,Purse-snatching,1
2019-06,Crime Against Property,Robbery,16
2019-06,Crime Against Property,Shoplifting,76
2019-06,Crime Against Property,Theft From Motor Vehicle,285
2019-06,Crime Against Property,Theft from Building,94
2019-06,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,53
2019-06,Crime Against Property,Wire Fraud,1
2019-06,Crime Against Society,All Other Offenses,359
2019-06,Crime Against Society,Assisting or Promoting Prostitution,2
2019-06,Crime Against Society,Disorderly Conduct,28
2019-06,Crime Against Society,Driving Under the Influence,71
2019-06,Crime Against Society,Drug Equipment Violations,8
2019-06,Crime Against Society,Drug/Narcotic Violations,110
2019-06,Crime Against Society,"Family Offenses, NonViolent",3
2019-06,Crime Against Society,Liquor Law Violations,31
2019-06,Crime Against Society,Pornography/Obscene Material,1
2019-06,Crime Against Society,Prostitution,3
2019-06,Crime Against Society,Trespass of Real Property,23
2019-06,Crime Against Society,Weapon Law Violations,5
2019-07,Crime Against Not a Crime,Runaway,9
2019-07,Crime Against Person,Aggravated Assault,23
2019-07,Crime Against Person,Forcible Fondling,11
