month_year,Agency,Crime Name1,count
2020-11,TPPD,Crime Against Society,16
2020-12,GPD,Crime Against Person,6
2020-12,GPD,Crime Against Property,32
2020-12,GPD,Crime Against Society,16
2020-12,MCPD,Crime Against Not a Crime,7
2020-12,MCPD,Crime Against Person,65
2020-12,MCPD,Crime Against Property,1096
2020-12,MCPD,Crime Against Society,289
2020-12,RCPD,Crime Against Person,27
2020-12,RCPD,Crime Against Property,80
2020-12,RCPD,Crime Against Society,60
2020-12,TPPD,Crime Against Not a Crime,1
2020-12,TPPD,Crime Against Property,21
2020-12,TPPD,Crime Against Society,18
2021-01,GPD,Crime Against Person,6
2021-01,GPD,Crime Against Property,21
2021-01,GPD,Crime Against Society,12
2021-01,MCPD,Crime Against Not a Crime,7
2021-01,MCPD,Crime Against Person,75
2021-01,MCPD,Crime Against Property,941
2021-01,MCPD,Crime Against Society,270
2021-01,RCPD,Crime Against Not a Crime,1
2021-01,RCPD,Crime Against Person,19
2021-01,RCPD,Crime Against Property,52
2021-01,RCPD,Crime Against Society,74
2021-01,TPPD,Crime Against Property,43
2021-01,TPPD,Crime Against Society,7
2021-02,GPD,Crime Against Not a Crime,1
2021-02,GPD,Crime Against Person,6
2021-02,GPD,Crime Against Property,22
2021-02,GPD,Crime Against Society,15
2021-02,MCPD,Crime Against Not a Crime,8
2021-02,MCPD,Crime Against Person,52
2021-02,MCPD,Crime Against Property,748
2021-02,MCPD,Crime Against Society,221
2021-02,RCPD,Crime Against Person,18
2021-02,RCPD,Crime Against Property,55
2021-02,RCPD,Crime Against Society,58
2021-02,TPPD,Crime Against Not a Crime,2
2021-02,TPPD,Crime Against Person,7
2021-02,TPPD,Crime Against Property,34
2021-02,TPPD,Crime Against Society,12
2021-03,GPD,Crime Against Person,6
2021-03,GPD,Crime Against Property,16
2021-03,GPD,Crime Against Society,13
2021-03,MCFM,Crime Against Society,1
2021-03,MCPD,Crime Against Not a Crime,6
2021-03,MCPD,Crime Against Person,70
2021-03,MCPD,Crime Against Property,897
2021-03,MCPD,Crime Against Society,249
2021-03,RCPD,Crime Against Person,20
2021-03,RCPD,Crime Against Property,63
2021-03,RCPD,Crime Against Society,74
2021-03,TPPD,Crime Against Person,5
2021-03,TPPD,Crime Against Property,35
2021-03,TPPD,Crime Against Society,16
2021-04,GPD,Crime Against Person,7
2021-04,GPD,Crime Against Property,18
2021-04,GPD,Crime Against Society,19
2021-04,MCPD,Crime Against Not a Crime,6
2021-04,MCPD,Crime Against Person,78
2021-04,MCPD,Crime Against Property,889
2021-04,MCPD,Crime Against Society,264
2021-04,OTHR,Crime Against Society,2
2021-04,RCPD,Crime Against Not a Crime,2
2021-04,RCPD,Crime Against Person,22
2021-04,RCPD,Crime Against Property,37
2021-04,RCPD,Crime Against Society,57
2021-04,TPPD,Crime Against Person,4
2021-04,TPPD,Crime Against Property,30
2021-04,TPPD,Crime Against Society,25
2021-05,GPD,Crime Against Person,7
2021-05,GPD,Crime Against Property,16
2021-05,GPD,Crime Against Society,11
2021-05,MCPD,Crime Against Not a Crime,5
2021-05,MCPD,Crime Against Person,83
2021-05,MCPD,Crime Against Property,1056
2021-05,MCPD,Crime Against Society,274
2021-05,OTHR,Crime Against Society,1
2021-05,RCPD,Crime Against Person,27
2021-05,RCPD,Crime Against Property,70
2021-05,RCPD,Crime Against Society,61
2021-05,TPPD,Crime Against Person,4
2021-05,TPPD,Crime Against Property,37
2021-05,TPPD,Crime Against Society,12
2021-06,GPD,Crime Against Person,6
2021-06,GPD,Crime Against Property,27
2021-06,GPD,Crime Against Society,15
2021-06,MCFM,Crime Against Property,1
2021-06,MCFM,Crime Against Society,1
2021-06,MCPD,Crime Against Not a Crime,9
2021-06,MCPD,Crime Against Person,89
2021-06,MCPD,Crime Against Property,1038
2021-06,MCPD,Crime Against Society,281
2021-06,RCPD,Crime Against Not a Crime,1
2021-06,RCPD,Crime Against Person,27
2021-06,RCPD,Crime Against Property,80
2021-06,RCPD,Crime Against Society,58
2021-06,TPPD,Crime Against Person,4
2021-06,TPPD,Crime Against Property,39
2021-06,TPPD,Crime Against Society,12
2021-07,GPD,Crime Against Not a Crime,1
2021-07,GPD,Crime Against Person,5
2021-07,GPD,Crime Against Property,28
2021-07,GPD,Crime Against Society,17
2021-07,MCPD,Crime Against Not a Crime,8
2021-07,MCPD,Crime Against Person,108
2021-07,MCPD,Crime Against Property,1077
2021-07,MCPD,Crime Against Society,329
2021-07,OTHR,Crime Against Society,1
2021-07,RCPD,Crime Against Not a Crime,2
2021-07,RCPD,Crime Against Person,30
2021-07,RCPD,Crime Against Property,87
2021-07,RCPD,Crime Against Society,68
2021-07,TPPD,Crime Against Person,2
2021-07,TPPD,Crime Against Property,40
2021-07,TPPD,Crime Against Society,9
2021-08,GPD,Crime Against Person,3
2021-08,GPD,Crime Against Property,41
2021-08,GPD,Crime Against Society,11
2021-08,MCPD,Crime Against Not a Crime,4
2021-08,MCPD,Crime Against Person,92
2021-08,MCPD,Crime Against Property,1023
2021-08,MCPD,Crime Against Society,326
2021-08,RCPD,Crime Against Person,12
2021-08,RCPD,Crime Against Property,71
2021-08,RCPD,Crime Against Society,74
2021-08,TPPD,Crime Against Person,4
2021-08,TPPD,Crime Against Property,30
2021-08,TPPD,Crime Against Society,14
2021-09,GPD,Crime Against Person,6
2021-09,GPD,Crime Against Property,30
2021-09,GPD,Crime Against Society,19
2021-09,MCPD,Crime Against Not a Crime,11
2021-09,MCPD,Crime Against Person,121
2021-09,MCPD,Crime Against Property,987
2021-09,MCPD,Crime Against Society,329
2021-09,MCSO,Crime Against Person,1
2021-09,RCPD,Crime Against Person,32
2021-09,RCPD,Crime Against Property,76
2021-09,RCPD,Crime Against Society,65
2021-09,TPPD,Crime Against Person,5
2021-09,TPPD,Crime Against Property,30
2021-09,TPPD,Crime Against Society,11
2021-10,GPD,Crime Against Not a Crime,1
