month_year,match_status,category,count
2020-07,Match,other,325
2020-07,Match,runaway,7
2020-07,Match,sexual assault,19
2020-07,Match,theft from auto,419
2020-07,Match,theft from person,20
2020-07,Match,theft from property,552
2020-07,Match,theft of auto,89
2020-07,Match,theft of parts,103
2020-07,Match,traffic or accident,15
2020-07,Match,violent crime,90
2020-08,Crime,drug related,16
2020-08,Crime,fraud,21
2020-08,Crime,other,73
2020-08,Crime,sexual assault,4
2020-08,Crime,theft from auto,24
2020-08,Crime,theft from person,4
2020-08,Crime,theft from property,59
2020-08,Crime,theft of auto,3
2020-08,Crime,theft of parts,7
2020-08,Crime,traffic or accident,18
2020-08,Crime,violent crime,12
2020-08,Dispatch,no crime report,14623
2020-08,Match,domestic incident,4
2020-08,Match,drug related,13
2020-08,Match,fraud,114
2020-08,Match,other,282
2020-08,Match,runaway,8
2020-08,Match,sexual assault,23
2020-08,Match,theft from auto,337
2020-08,Match,theft from person,19
2020-08,Match,theft from property,575
2020-08,Match,theft of auto,90
2020-08,Match,theft of parts,105
2020-08,Match,traffic or accident,16
2020-08,Match,violent crime,106
2020-09,Crime,drug related,31
2020-09,Crime,fraud,10
2020-09,Crime,other,72
2020-09,Crime,sexual assault,11
2020-09,Crime,theft from auto,36
2020-09,Crime,theft from person,2
2020-09,Crime,theft from property,48
2020-09,Crime,theft of auto,8
2020-09,Crime,theft of parts,3
2020-09,Crime,traffic or accident,25
2020-09,Crime,violent crime,7
2020-09,Dispatch,no crime report,14034
2020-09,Match,domestic incident,5
2020-09,Match,drug related,19
2020-09,Match,fraud,118
2020-09,Match,other,316
2020-09,Match,runaway,9
2020-09,Match,sexual assault,12
2020-09,Match,theft from auto,365
2020-09,Match,theft from person,17
2020-09,Match,theft from property,541
2020-09,Match,theft of auto,87
2020-09,Match,theft of parts,105
2020-09,Match,traffic or accident,15
2020-09,Match,violent crime,86
2020-10,Crime,drug related,18
2020-10,Crime,fraud,13
2020-10,Crime,human trafficking,1
2020-10,Crime,other,60
2020-10,Crime,sex crime,3
2020-10,Crime,sexual assault,9
2020-10,Crime,theft from auto,18
2020-10,Crime,theft from person,2
2020-10,Crime,theft from property,46
2020-10,Crime,theft of parts,2
2020-10,Crime,traffic or accident,18
2020-10,Crime,violent crime,4
2020-10,Dispatch,no crime report,14294
2020-10,Match,domestic incident,5
2020-10,Match,drug related,15
2020-10,Match,fraud,115
2020-10,Match,other,330
2020-10,Match,runaway,15
2020-10,Match,sexual assault,13
2020-10,Match,theft from auto,295
2020-10,Match,theft from person,30
2020-10,Match,theft from property,505
2020-10,Match,theft of auto,79
2020-10,Match,theft of parts,106
2020-10,Match,traffic or accident,17
2020-10,Match,violent crime,80
2020-11,Crime,domestic incident,1
2020-11,Crime,drug related,17
2020-11,Crime,fraud,2
2020-11,Crime,other,42
2020-11,Crime,runaway,1
2020-11,Crime,sexual assault,5
2020-11,Crime,theft from auto,24
2020-11,Crime,theft from property,33
2020-11,Crime,theft of auto,3
2020-11,Crime,theft of parts,1
2020-11,Crime,traffic or accident,19
2020-11,Crime,violent crime,7
2020-11,Dispatch,no crime report,13746
2020-11,Match,abduction,1
2020-11,Match,domestic incident,1
2020-11,Match,drug related,10
2020-11,Match,fraud,136
2020-11,Match,other,326
2020-11,Match,runaway,13
2020-11,Match,sexual assault,13
2020-11,Match,theft from auto,323
2020-11,Match,theft from person,24
2020-11,Match,theft from property,499
2020-11,Match,theft of auto,76
2020-11,Match,theft of parts,84
2020-11,Match,traffic or accident,7
2020-11,Match,violent crime,82
2020-12,Crime,drug related,17
2020-12,Crime,fraud,9
2020-12,Crime,other,58
2020-12,Crime,runaway,1
2020-12,Crime,sexual assault,2
2020-12,Crime,theft from auto,12
2020-12,Crime,theft from person,3
2020-12,Crime,theft from property,37
2020-12,Crime,theft of auto,5
2020-12,Crime,theft of parts,2
2020-12,Crime,traffic or accident,21
2020-12,Crime,violent crime,5
2020-12,Dispatch,no crime report,13172
2020-12,Match,domestic incident,3
2020-12,Match,drug related,5
2020-12,Match,fraud,133
2020-12,Match,other,293
2020-12,Match,runaway,7
2020-12,Match,sex crime,1
2020-12,Match,sexual assault,13
2020-12,Match,theft from auto,308
2020-12,Match,theft from person,16
2020-12,Match,theft from property,450
2020-12,Match,theft of auto,79
2020-12,Match,theft of parts,143
2020-12,Match,traffic or accident,16
2020-12,Match,violent crime,79
2021-01,Crime,domestic incident,1
2021-01,Crime,drug related,18
2021-01,Crime,fraud,10
2021-01,Crime,other,50
2021-01,Crime,runaway,1
2021-01,Crime,sexual assault,4
2021-01,Crime,theft from auto,19
2021-01,Crime,theft from person,4
2021-01,Crime,theft from property,38
2021-01,Crime,theft of auto,4
2021-01,Crime,theft of parts,4
2021-01,Crime,traffic or accident,16
2021-01,Crime,violent crime,6
